Assembly Accession	Assembly Name	Organism Name	Annotation Count Gene Total
GCF_000006945.2	ASM694v2	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	4717
GCF_000195955.2	ASM19595v2	Mycobacterium tuberculosis H37Rv	4008
GCF_000009045.1	ASM904v1	Bacillus subtilis subsp. subtilis str. 168	4536
GCF_009035845.1	ASM903584v1	Acinetobacter baumannii	3832
GCF_000015785.2	ASM1578v2	Bacillus velezensis FZB42	3882
GCF_001457635.1	NCTC7465	Streptococcus pneumoniae	2189
GCF_000412675.1	ASM41267v1	Pseudomonas putida NBRC 14164	5573
GCF_025998455.1	ASM2599845v1	Helicobacter pylori	1629
GCF_019048245.1	ASM1904824v1	Enterobacter hormaechei	4774
GCF_900186865.1	49243_F02	Stenotrophomonas maltophilia	4669
GCF_006094375.1	ASM609437v1	Staphylococcus epidermidis	2368
GCF_006094495.1	ASM609449v1	Priestia megaterium NBRC 15308 = ATCC 14581	6003
GCF_000196555.1	ASM19655v1	Bifidobacterium longum subsp. longum JCM 1217	2033
GCF_034478925.1	ASM3447892v1	Bacillus licheniformis	4384
GCF_019048645.1	ASM1904864v1	Streptococcus mutans	2009
GCF_020525545.1	ASM2052554v1	Klebsiella variicola subsp. variicola	5337
GCF_020099175.1	ASM2009917v1	Klebsiella quasipneumoniae	5291
GCF_022869645.1	ASM2286964v1	Neisseria meningitidis	2201
GCF_000014805.1	ASM1480v1	Aeromonas hydrophila subsp. hydrophila ATCC 7966	4356
GCF_016027375.1	ASM1602737v1	Clostridium perfringens	3062
GCF_030297255.1	ASM3029725v1	Burkholderia pseudomallei	6291
GCF_000007125.1	ASM712v1	Brucella melitensis bv. 1 str. 16M	3237
GCF_001941585.1	ASM194158v1	Legionella pneumophila	3055
GCF_022811565.1	ASM2281156v1	Paenibacillus polymyxa ATCC 842	5442
GCF_000011325.1	ASM1132v1	Corynebacterium glutamicum ATCC 13032	3079
GCF_020736045.1	ASM2073604v1	Haemophilus influenzae	1889
GCF_900475625.1	45709_F01	Levilactobacillus brevis	2468
GCF_000069185.1	ASM6918v1	Mycobacteroides abscessus ATCC 19977	5047
GCF_019048385.1	ASM1904838v1	Pantoea agglomerans	4361
GCF_019048125.1	ASM1904812v1	Klebsiella aerogenes	5018
GCF_000832905.1	ASM83290v1	Heyndrickxia coagulans DSM 1 = ATCC 7050	3344
