# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	pseudogene	GCF_030717465.1	Primary Assembly	chromosome		NZ_CP132016.1	1	1017	+							Q8725_RS00005	1017		partial;pseudo;old_locus_tag=Q8725_00005
CDS	without_protein	GCF_030717465.1	Primary Assembly	chromosome		NZ_CP132016.1	1	1017	+				carbohydrate porin			Q8725_RS00005	1017		partial;pseudo
gene	protein_coding	GCF_030717465.1	Primary Assembly	chromosome		NZ_CP132016.1	1344	2141	-					phnV		Q8725_RS00010	798		old_locus_tag=Q8725_00010
CDS	with_protein	GCF_030717465.1	Primary Assembly	chromosome		NZ_CP132016.1	1344	2141	-	WP_009653847.1	WP_009653847.1		2-aminoethylphosphonate ABC transport system, membrane component PhnV	phnV		Q8725_RS00010	798	265	
gene	protein_coding	GCF_030717465.1	Primary Assembly	chromosome		NZ_CP132016.1	2144	3004	-					phnU		Q8725_RS00015	861		old_locus_tag=Q8725_00015
CDS	with_protein	GCF_030717465.1	Primary Assembly	chromosome		NZ_CP132016.1	2144	3004	-	WP_004855607.1	WP_004855607.1		2-aminoethylphosphonate ABC transporter permease subunit	phnU		Q8725_RS00015	861	286	
gene	protein_coding	GCF_030717465.1	Primary Assembly	chromosome		NZ_CP132016.1	3004	4116	-					phnT		Q8725_RS00020	1113		old_locus_tag=Q8725_00020
CDS	with_protein	GCF_030717465.1	Primary Assembly	chromosome		NZ_CP132016.1	3004	4116	-	WP_189090713.1	WP_189090713.1		2-aminoethylphosphonate ABC transport system ATP-binding subunit PhnT	phnT		Q8725_RS00020	1113	370	
gene	protein_coding	GCF_030717465.1	Primary Assembly	chromosome		NZ_CP132016.1	4122	5135	-					phnS		Q8725_RS00025	1014		old_locus_tag=Q8725_00025
CDS	with_protein	GCF_030717465.1	Primary Assembly	chromosome		NZ_CP132016.1	4122	5135	-	WP_009653850.1	WP_009653850.1		2-aminoethylphosphonate ABC transporter substrate-binding protein	phnS		Q8725_RS00025	1014	337	
gene	protein_coding	GCF_030717465.1	Primary Assembly	chromosome		NZ_CP132016.1	5384	6103	-					phnR		Q8725_RS00030	720		old_locus_tag=Q8725_00030
CDS	with_protein	GCF_030717465.1	Primary Assembly	chromosome		NZ_CP132016.1	5384	6103	-	WP_009653851.1	WP_009653851.1		phosphonate utilization transcriptional regulator PhnR	phnR		Q8725_RS00030	720	239	
gene	protein_coding	GCF_030717465.1	Primary Assembly	chromosome		NZ_CP132016.1	6244	7347	+					phnW		Q8725_RS00035	1104		old_locus_tag=Q8725_00035
CDS	with_protein	GCF_030717465.1	Primary Assembly	chromosome		NZ_CP132016.1	6244	7347	+	WP_042928153.1	WP_042928153.1		2-aminoethylphosphonate--pyruvate transaminase	phnW		Q8725_RS00035	1104	367	
gene	protein_coding	GCF_030717465.1	Primary Assembly	chromosome		NZ_CP132016.1	7357	8166	+					phnX		Q8725_RS00040	810		old_locus_tag=Q8725_00040
CDS	with_protein	GCF_030717465.1	Primary Assembly	chromosome		NZ_CP132016.1	7357	8166	+	WP_004855618.1	WP_004855618.1		phosphonoacetaldehyde hydrolase	phnX		Q8725_RS00040	810	269	
gene	protein_coding	GCF_030717465.1	Primary Assembly	chromosome		NZ_CP132016.1	8199	9380	-					nepI		Q8725_RS00045	1182		old_locus_tag=Q8725_00045
CDS	with_protein	GCF_030717465.1	Primary Assembly	chromosome		NZ_CP132016.1	8199	9380	-	WP_004855619.1	WP_004855619.1		purine ribonucleoside efflux pump NepI	nepI		Q8725_RS00045	1182	393	
gene	protein_coding	GCF_030717465.1	Primary Assembly	chromosome		NZ_CP132016.1	9593	9952	+							Q8725_RS00050	360		old_locus_tag=Q8725_00050
CDS	with_protein	GCF_030717465.1	Primary Assembly	chromosome		NZ_CP132016.1	9593	9952	+	WP_009653859.1	WP_009653859.1		type II toxin-antitoxin system RelE/ParE family toxin			Q8725_RS00050	360	119	
