# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_002442695.1	Primary Assembly	chromosome		NZ_CP017162.1	1	1920	+					mnmG		BHR50_RS00005	1920		old_locus_tag=BHR50_00005
CDS	with_protein	GCF_002442695.1	Primary Assembly	chromosome		NZ_CP017162.1	1	1920	+	WP_010929569.1	WP_010929569.1		tRNA uridine-5-carboxymethylaminomethyl(34) synthesis enzyme MnmG	mnmG		BHR50_RS00005	1920	639	
gene	protein_coding	GCF_002442695.1	Primary Assembly	chromosome		NZ_CP017162.1	1917	2609	+					rsmG		BHR50_RS00010	693		old_locus_tag=BHR50_00010
CDS	with_protein	GCF_002442695.1	Primary Assembly	chromosome		NZ_CP017162.1	1917	2609	+	WP_003806878.1	WP_003806878.1		16S rRNA (guanine(527)-N(7))-methyltransferase RsmG	rsmG		BHR50_RS00010	693	230	
gene	protein_coding	GCF_002442695.1	Primary Assembly	chromosome		NZ_CP017162.1	2606	3403	+							BHR50_RS00015	798		old_locus_tag=BHR50_00015
CDS	with_protein	GCF_002442695.1	Primary Assembly	chromosome		NZ_CP017162.1	2606	3403	+	WP_003806879.1	WP_003806879.1		ParA family protein			BHR50_RS00015	798	265	
gene	protein_coding	GCF_002442695.1	Primary Assembly	chromosome		NZ_CP017162.1	3410	4171	+							BHR50_RS00020	762		old_locus_tag=BHR50_00020
CDS	with_protein	GCF_002442695.1	Primary Assembly	chromosome		NZ_CP017162.1	3410	4171	+	WP_010929570.1	WP_010929570.1		GNAT family N-acetyltransferase			BHR50_RS00020	762	253	
gene	protein_coding	GCF_002442695.1	Primary Assembly	chromosome		NZ_CP017162.1	4215	5132	+							BHR50_RS00025	918		old_locus_tag=BHR50_00025
CDS	with_protein	GCF_002442695.1	Primary Assembly	chromosome		NZ_CP017162.1	4215	5132	+	WP_010929571.1	WP_010929571.1		ParB/RepB/Spo0J family partition protein			BHR50_RS00025	918	305	
